nazwa,firma,telefon,pesel
Ingetraud Hecker-Rosenow,Rogge KGaA,+49 (0) 9180 503522,xxx
Alex Kruschwitz,Förster AG,+49(0)8387 525253,xxx
Karl-Werner Schäfer,Trupp GmbH,+49(0) 964250909,xxx
Udo Zahn-Fiebig,Bolander,0537969102,xxx
Liliana Finke-Bloch,Baum GmbH,(01747) 260158,xxx
Lorenzo Ladeck,Hofmann Schaaf Stiftung & Co. KGaA,+49(0)1070 286460,xxx
Josefa Rust,Killer,+49(0)2311 718339,xxx
Prof. Hanspeter Schacht B.Sc.,Wirth GmbH,+49(0)3564 731827,xxx
Dolores Zirme,Sölzer e.V.,(04702) 551351,xxx
Walentina Schulz,Roskoth GmbH,00652 66722,xxx
Johannes Patberg,Mude,+49(0)7527 90410,xxx
Samira Haase,Ernst GmbH & Co. KG,+49(0) 477085290,xxx
Ing. Cord Mangold,Hornig GmbH,+49 (0) 9672 489869,xxx
Maik Jockel,Schinke Ortmann GmbH,09426 13305,xxx
Abbas Lange-Niemeier,Krebs,+49 (0) 3835 086918,xxx
Dipl.-Ing. Steffi Segebahn,Heydrich Kabus GmbH,+49(0)6431 241244,xxx
Peter Benthin B.A.,Pieper Stiebitz AG,+49(0)7781 86797,xxx
Rolf Schmiedt B.Eng.,Anders Dörschner AG & Co. KGaA,+49 (0) 7152 888824,xxx
